concept_id,reading,category,voice,test_type,verdict,n,diff,ci_lo,ci_hi,p,q_bh,holm,verified,deepdive_label,summary,result_path,script
aligning-expansion-candles,b,model,own,gate,NULL,9457,0.0075352,-0.0212667,0.0383329,0.6202,0.833,keep,,,"Live expansion-support gate: the in-progress daily and 4H candles are both beyond their open in the trade direction, with opposing run <= 1.0 x body. Tested on the 15m CISD book: +0.008R [-0.021,+0.038]. Powered null.",concept_campaign/results/aligning-expansion-candles__b.json,concept_campaign/tests/model_own_02a/aligning-expansion-candles.py
asia-session-c2-protected-swing,,time,own,trade,UNDERPOWERED,697,-0.0178312,-0.0780088,0.0818536,0.6619,0.8594,keep,,,"Daily C2, protected swing taken from the latest same-direction 1h CISD inside the C2 and still intact at the close. Entry at the 18:00 Asia open, stop at the swing, target the C2's bias-side extreme, held one session. Diff about 0; MDE 0.114.",concept_campaign/results/asia-session-c2-protected-swing.json,concept_campaign/tests/time_own_03a/asia-session-c2-protected-swing.py
autobias-filter,a,model,own,gate,NULL,49089,0.0094727,-0.00683615,0.0268092,0.2697,0.5899,keep,,,"Autobias 1: 5m CISD setups that agree with the last 4H (forex grid) C2 closure direction, compared with the setups it suppresses. A powered zero.",concept_campaign/results/autobias-filter__a.json,concept_campaign/tests/model_own_04a/autobias-filter.py
autobias-filter,b,model,own,gate,NULL,48715,0.0071879,-0.00870589,0.0244969,0.3961,0.697,keep,,,Autobias 2: the same book gated on agreement with the last daily C2 closure direction. A powered zero.,concept_campaign/results/autobias-filter__b.json,concept_campaign/tests/model_own_04a/autobias-filter.py
automatic-fractal-pairing,,time,own,gate,NULL,27559,0.00781644,-0.00833016,0.0244149,0.3494,0.6592,keep,,,"Pooled auto rungs: 1h CISD with 1D, 15m with 4H (forex grid), 5m with 1H. Gated = the last completed auto-paired HTF bar is a candle 2 in the event's direction. Result +0.008R, powered NULL (MDE 0.023).",concept_campaign/results/automatic-fractal-pairing.json,concept_campaign/tests/time_own_02b/automatic-fractal-pairing.py
average-daily-range,a,risk,own,gate,EDGE,28661,0.0392141,0.00277829,0.0750081,0.03332,0.196,keep,refuted_both,,"Refuted (both): the 'range covered' complement is a late-session set; ToD-matched control gives NULL (+0.024 [-0.010,+0.057]).",concept_campaign/results/average-daily-range__a.json,concept_campaign/tests/risk_own_01b/average-daily-range.py
average-daily-range,b,risk,own,gate,EDGE,28458,0.040092,0.00455555,0.0760892,0.02802,0.1838,keep,refuted_both,,Refuted (both): same time-of-day confound as reading a; NULL under the ToD-matched control.,concept_campaign/results/average-daily-range__b.json,concept_campaign/tests/risk_own_01b/average-daily-range.py
average-daily-range-targeting,a,risk,own,gate,NULL,25814,0.0178336,-0.00966805,0.0450758,0.2016,0.5064,keep,,,"Gate on the 15m CISD book: 2R target inside the remaining expansion-day budget (running day low/high plus the expansion band) vs beyond it: +0.018R, a powered NULL (H1 +0.041, H2 -0.003). A target ceiling adds nothing beyond the 'range already covered' gate.",concept_campaign/results/average-daily-range-targeting__a.json,concept_campaign/tests/risk_own_01b/average-daily-range-targeting.py
average-daily-range-targeting,b,risk,own,rate,NEGATIVE,334,-0.131138,-0.195808,-0.057485,0.0002022,0.00426,keep,,,"Corollary 'after a very large range day (>1.5x ADR20) expect a smaller range': the next day's range was below ADR only 43% of the time vs 56% on matched random days. NEGATIVE: volatility clusters, and big days are followed by big days.",concept_campaign/results/average-daily-range-targeting__b.json,concept_campaign/tests/risk_own_01b/average-daily-range-targeting.py
balance-area-poc-target,,model,guest,rate,NULL,2241,0.0142793,-0.0142793,0.0423918,0.3233,0.6368,keep,,,"The data has no volume, so the balance area is a time-at-price (TPO) stand-in: the previous day's 70% value area and point of control (POC). Event: the first M1 close back inside after closing outside.",concept_campaign/results/balance-area-poc-target.json,concept_campaign/tests/model_guest_02a/balance-area-poc-target.py
balanced-price-range-overlap,a,structure,own,trade,EDGE,16595,0.0242315,0.00546049,0.0432102,0.01186,0.1079,keep,upheld,,"Verifiers upheld (+0.024R, independent build identical) but H2 +0.0006 and BH q=0.11 - candidate only.",concept_campaign/results/balanced-price-range-overlap__a.json,concept_campaign/tests/structure_own_05b/balanced-price-range-overlap.py
balanced-price-range-overlap,b,structure,own,gate,NULL,9392,0.0334391,-0.00849892,0.0761434,0.1215,0.3931,keep,,,"Premium/discount rule (longs below the previous day's EQ, shorts above) as a gate on the reading-a BPR book: +0.033R, CI contains 0, powered NULL.",concept_campaign/results/balanced-price-range-overlap__b.json,concept_campaign/tests/structure_own_05b/balanced-price-range-overlap.py
balanced-price-range-revisit,,structure,guest,gate,NULL,26686,-0.00471581,-0.0291835,0.0195759,0.7046,0.8899,keep,,,"Tested the claim that a filled 15m FVG is a better entry when price comes back to it (trading the filling leg's direction, stop beyond the band, 2R) than the first touch of an untouched FVG. Clustered by gap. Powered NULL: BPR revisits are no better. The untouched-gap arm itself beat its own control by +0.033R.",concept_campaign/results/balanced-price-range-revisit.json,concept_campaign/tests/structure_guest_02a/balanced-price-range-revisit.py
basic-trend-structure,,structure,own,trade,NULL,2725,-0.0469623,-0.114913,0.0204398,0.1738,0.474,keep,,,"Tested the running expectation 'after a higher low comes a higher high' on 1h 2/2 fractals. At a confirmed higher low inside an HH/HL trend, go long with the stop at the HL and the target at the pending prior swing high, 24 trading hours (mirror for downtrends). -0.047R vs control, powered NULL.",concept_campaign/results/basic-trend-structure.json,concept_campaign/tests/structure_own_02a/basic-trend-structure.py
bias-split-across-timeframes,,model,own,gate,UNDERPOWERED,2930,0.141231,-7.948e-05,0.292492,0.05846,0.273,keep,,,"Gate test of the conservative variant: take HTF-bias entries only after the opposite 1h swing liquidity is grabbed. Baseline is 1h closes the day after a daily C2/C3+H1-CISD bias. +0.14R [-0.0001,+0.29], MDE 0.21, UNDERPOWERED. H1 +0.36 and H2 -0.10 disagree.",concept_campaign/results/bias-split-across-timeframes.json,concept_campaign/tests/model_own_01a/bias-split-across-timeframes.py
bitcoin-session-time-not-used,,time,guest,untestable,UNTESTABLE,0,,,,,,,,,"UNTESTABLE: the rule applies only to Bitcoin, a market that trades around the clock. The harness has only XAUUSD, which closes every day and at weekends (the guest's stated reason), so neither a BTC setup book nor BTC volatility by hour can be measured. Moving the rule to gold would test a different claim.",concept_campaign/results/bitcoin-session-time-not-used.json,concept_campaign/tests/time_guest_01c/bitcoin-session-time-not-used.py
body-close-confirmation,,structure,guest,gate,NULL,9117,-0.0310342,-0.0798426,0.0174894,0.2113,0.518,keep,,,"Used 15m 2/2 swing levels that were first pierced by a wick only. Compared AP's break entry (a body close beyond the wick extreme) with a body close beyond the level alone (setups where the two coincide were dropped; stop at the breaking bar's far extreme, 2R, 150min).",concept_campaign/results/body-close-confirmation.json,concept_campaign/tests/structure_guest_02a/body-close-confirmation.py
box-setup,a,entry,own,trade,NULL,2305,0.0460066,-0.0071909,0.0981137,0.08679,0.344,keep,,,"Canonical box (HFfChGFHD44): an old 2/2 swing is taken with an FVG out and an FVG back in, then a limit on the retest of the highest/lowest body level, stop at the deviation extreme, 2R. NULL (powered, MDE 0.075).",concept_campaign/results/box-setup__a.json,concept_campaign/tests/entry_own_03b/box-setup.py
box-setup,b,entry,own,trade,NULL,2378,0.0227934,-0.0182865,0.0611925,0.2609,0.5743,keep,,,Earlier 'catch them right away' reading (E6bpY4dQvlE): the same setups entered at the close back inside the range. NULL.,concept_campaign/results/box-setup__b.json,concept_campaign/tests/entry_own_03b/box-setup.py
bracket-order-not-guaranteed,,risk,guest,untestable,UNTESTABLE,0,,,,,,,,,"An execution-quality claim (a stop order may not fill at its level). Testing it needs broker fill records or bid/ask ticks. The dataset is a mid-quote M1 OHLC series, and the harness always fills stops at the stop level or the gap open.",concept_campaign/results/bracket-order-not-guaranteed.json,concept_campaign/tests/risk_guest_02a/bracket-order-not-guaranteed.py
break-even-management,a,risk,own,trade,NULL,3344,0.0355112,-0.00577557,0.0810633,0.1089,0.3744,keep,,,"When a 15m CISD 2R position reaches +1R and then returns to entry, holding on with the original stop and target vs a matched random entry: +0.036R, NULL (powered, MDE 0.062). The return to entry predicts neither failure nor success, so break-even vs a structural stop is a wash.",concept_campaign/results/break-even-management__a.json,concept_campaign/tests/risk_own_01b/break-even-management.py
breakaway-gap-anticipation,,liquidity,guest,rate,EDGE,5704,-0.0111501,-0.0224121,-0.0011254,0.04005,0.2204,keep,refuted_both,,Refuted (both): nearest-neighbour null has a far-tail boundary bias; placebo blocks give the same effect and a 20-bar lookback kills it.,concept_campaign/results/breakaway-gap-anticipation.json,concept_campaign/tests/liquidity_guest_01a/breakaway-gap-anticipation.py
breaker-block,a,entry,own,trade,EDGE,6111,0.0422308,0.00329311,0.0806499,0.03236,0.1949,keep,refuted_faithfulness,,Refuted (faithfulness): a placebo without the breaker's higher high gives the same edge; 2021 alone carries 37%.,concept_campaign/results/breaker-block__a.json,concept_campaign/tests/entry_own_02b/breaker-block.py
breaker-block,b,entry,own,gate,UNDERPOWERED,2204,-0.0435525,-0.12296,0.0369868,0.2858,0.6038,keep,,,"Host's hard requirement of a higher-timeframe bias, tested as a gate on the breaker book: direction agrees with the daily previous-candle bias. -0.044R (wrong sign), CI contains 0, underpowered.",concept_campaign/results/breaker-block__b.json,concept_campaign/tests/entry_own_02b/breaker-block.py
breaker-continuation,a,entry,own,trade,NULL,5452,-0.0115476,-0.0372474,0.0148942,0.3853,0.6879,keep,,,"15m breaker continuation: swing low L1, then swing high H, then L1 swept before any close above H, then a close above H within 20 bars. Traded only with the prior day's direction. Entry at the close through H, stop on the swept low, 2R. No better than a matched random entry (powered, MDE 0.037).",concept_campaign/results/breaker-continuation__a.json,concept_campaign/tests/entry_own_02a/breaker-continuation.py
breaker-continuation,b,entry,own,trade,NULL,3797,-0.000695158,-0.0457021,0.0446736,0.9759,0.9919,keep,,,"Same breakers, entered on a retest instead: the first bar within 10 bars that trades into the body zone and closes beyond its far side, with the stop on that far side and a 2R target. Zero difference from a matched random entry (powered, MDE 0.065).",concept_campaign/results/breaker-continuation__b.json,concept_campaign/tests/entry_own_02a/breaker-continuation.py
breaker-wick-vs-body-invalidation,,entry,guest,gate,NULL,8234,-0.0241979,-0.0604197,0.0144894,0.2054,0.5083,keep,,,"Gate on the 5m breaker-retest book (27,065 filled): limit at the breaker's near edge, stop at its far edge, 2R, 50 min hold. Gated = wick-only breakers, meaning no 5m body closed beyond L1 during the lower-low leg (8,234), vs body-violated (18,823). Powered NULL (MDE 0.054).",concept_campaign/results/breaker-wick-vs-body-invalidation.json,concept_campaign/tests/entry_guest_01b/breaker-wick-vs-body-invalidation.py
breakeven-after-new-protected-swing,,risk,own,trade,UNDERPOWERED,454,-0.0161134,-0.108898,0.0769043,0.7339,0.9058,keep,,,"The harness cannot move a stop mid-trade, so the trail was tested as the position it leaves. That position starts at the first later same-direction 1h CISD while the base trade (prior-day target at least 2R away) is still open.",concept_campaign/results/breakeven-after-new-protected-swing.json,concept_campaign/tests/risk_own_01a/breakeven-after-new-protected-swing.py
broadening-formation,a,structure,own,rate,NULL,1881,-0.0116959,-0.0285008,0.00691653,0.1955,0.4997,keep,,,"Later framing (prior-day range / outside bar): after PDH or PDL is taken and a 1H bar closes back inside, the other side is reached before the 17:00 NY halt 15.0% of the time. The matched null (same distance, same M1-bar horizon, same time of day) reaches it 16.2%. NULL, powered.",concept_campaign/results/broadening-formation__a.json,concept_campaign/tests/structure_own_03b/broadening-formation.py
broadening-formation,b,structure,own,rate,NULL,4691,-0.00895725,-0.0246055,0.00664691,0.2612,0.5743,keep,,,"Earlier framing (a range between 1H swings): a swing is taken and a 1H bar closes back inside within 3 bars, then the opposite swing is reached within 1,440 M1 bars 53.7% of the time, against 54.6% for the matched null. NULL, powered.",concept_campaign/results/broadening-formation__b.json,concept_campaign/tests/structure_own_03b/broadening-formation.py
broadening-formation-range-projection,,structure,own,rate,NULL,2030,-0.00403941,-0.019803,0.0107389,0.6041,0.8221,keep,,,"Range = the previous day. When a 15m candle closes back inside after a failed run through PDH or PDL, the opposite side is hit within 12 trading hours 11.0% of the time, against 11.4% for a level at the same distance and time of day. This is a powered NULL.",concept_campaign/results/broadening-formation-range-projection.json,concept_campaign/tests/structure_own_05a/broadening-formation-range-projection.py
buyside-sellside-liquidity,a,liquidity,own,rate,NULL,67889,0.00355286,-0.00020968,0.0074655,0.06959,0.3084,keep,,,"Tested whether a fresh 15m fractal-2/2 swing pool gets traded through within 360 M1 bars more often than a same-distance level at a matched random time: 69.8% vs 69.5%, a powered NULL. The first run's write was refused on params_source keys and the deterministic test was re-run once, with identical numbers;",concept_campaign/results/buyside-sellside-liquidity__a.json,concept_campaign/tests/liquidity_own_01a/buyside-sellside-liquidity.py
buyside-sellside-liquidity,b,liquidity,own,trade,UNDERPOWERED,22019,0.115215,-0.0253956,0.367071,0.2498,0.569,keep,,,"Tested sweep-and-reject of untaken 15m pools, trading toward the nearest opposite pool with the stop at the sweep bar's extreme (6h hold, trading time, ToD-matched control). Diff +0.115R but MDE 0.28R: the stop is tight and the target far, so R is heavy-tailed. UNDERPOWERED.",concept_campaign/results/buyside-sellside-liquidity__b.json,concept_campaign/tests/liquidity_own_01a/buyside-sellside-liquidity.py
c2-confirmation-scaling,,entry,own,gate,UNDERPOWERED,389,-0.0203466,-0.101198,0.0596714,0.62,0.833,keep,,,"Baseline is the minimal-confirmation 4h C2 plus 15m CISD book. Gate is a proxy for 'strong structure', declared before the run: C1 is a clean small-wick expansion (opposing run / body <= 1.0) and C2 closes through the open of the HTF opposing series. It fired on 8.2% of events. Result: -0.020R [-0.101, +0.060].",concept_campaign/results/c2-confirmation-scaling.json,concept_campaign/tests/entry_own_01b/c2-confirmation-scaling.py
c2-unicorn,,model,guest,trade,UNDERPOWERED,661,-0.0444108,-0.132106,0.0463771,0.3294,0.6384,keep,,,"Setup: a 1h C2 sweeps the previous hour's extreme into a POI (PDL/PWL, session levels, 1h swings, 1h FVGs). A 5m unicorn (breaker plus an overlapping FVG, within 12 candles) forms inside C2 and the trade is taken there. Stop at the C2 extreme, 2R, 4h hold. -0.044R vs control, CI [-0.132, +0.046].",concept_campaign/results/c2-unicorn.json,concept_campaign/tests/model_guest_01b/c2-unicorn.py
c3-with-ic-highest-winrate,,entry,own,gate,NULL,3514,-0.00607678,-0.056387,0.0454092,0.815,0.9381,keep,,,"Inside the 4H C2 model (one-sided C2 on the forex grid, plus an aligned 15m CISD inside C2), C3 entries with an intracandle CISD were compared with all other C3/C4 model entries, clustered by C2. They are not better (powered, MDE 0.073). Scored on control-adjusted R, not raw win rate.",concept_campaign/results/c3-with-ic-highest-winrate.json,concept_campaign/tests/entry_own_02a/c3-with-ic-highest-winrate.py
cancel-limit-after-target-run,,entry,guest,gate,UNDERPOWERED,3515,0.000537984,-0.165113,0.163349,0.9949,0.9984,keep,,,"Gate on Trader T's book with no cancel rule: fills before the 2R price traded (86.6%) vs fills after price had already run to the target. Difference +0.0005R, essentially zero. UNDERPOWERED because the cancelled arm is small (546; MDE 0.235).",concept_campaign/results/cancel-limit-after-target-run.json,concept_campaign/tests/entry_guest_01a/cancel-limit-after-target-run.py
candle-two-closure-not-required,a,model,guest,trade,UNDERPOWERED,740,0.0355837,-0.0590305,0.124741,0.4478,0.7273,keep,,,"Variant B on 4H (forex grid) and 1D: C2 takes C1's extreme and closes beyond it, then C3 closes through the series open (a CISD). Entry at the C3 close, stop at the C2/C3 extreme, 2R. Diff +0.036R, CI [-0.059, +0.125]; MDE 0.131, so it is short of power.",concept_campaign/results/candle-two-closure-not-required__a.json,concept_campaign/tests/model_guest_02b/candle-two-closure-not-required.py
candle-two-closure-not-required,b,model,guest,trade,NULL,8208,0.00197331,-0.02022,0.02433,0.8622,0.9637,keep,,,"Variant A: a lower-timeframe CISD (4H with 15m, 1D with 1H) inside an unfinished HTF C2 whose swing is beyond C1's extreme. Stop at the protected swing, 2R. Diff +0.002R, CI [-0.020, +0.024]. Powered NULL.",concept_campaign/results/candle-two-closure-not-required__b.json,concept_campaign/tests/model_guest_02b/candle-two-closure-not-required.py
candle-type-wick-to-body,,structure,own,gate,NULL,10495,-0.00890719,-0.0401875,0.0214837,0.5713,0.8029,keep,,,"Baseline: 16,184 4h candles (forex grid), each traded in its close direction from the next open with ±1 ATR(20) barriers and a 3-candle hold in trading time. Gate: body at least as large as the opposing run, i.e. not a reversal candle (fires 64.8%). -0.009R, CI [-0.040, +0.021].",concept_campaign/results/candle-type-wick-to-body.json,concept_campaign/tests/structure_own_02b/candle-type-wick-to-body.py
chart-data-settings,,risk,own,untestable,UNTESTABLE,0,,,,,,,,,"UNTESTABLE. Futures feed settings: back-adjust, settlement, ETH/RTH, minis vs micros. The certified data is a single spot XAUUSD series with no contract rolls, settlement price or mini/micro pair, so neither side of any toggle exists. The NY timezone setting is already the settled harness convention.",concept_campaign/results/chart-data-settings.json,concept_campaign/tests/risk_own_02a/chart-data-settings.py
chart-futures-execute-elsewhere,,risk,own,untestable,UNTESTABLE,0,,,,,,,,,"UNTESTABLE. Chooses between vehicles: futures chart vs ETF/options/CFD, minis vs micros. Only one instrument series exists (spot gold, already including overnight), so there is no second vehicle to compare levels, signals or fills against.",concept_campaign/results/chart-futures-execute-elsewhere.json,concept_campaign/tests/risk_own_02a/chart-futures-execute-elsewhere.py
chart-timezone-est,,time,own,gate,NULL,13229,0.00535156,-0.0167552,0.0271123,0.6325,0.842,keep,,,"Gate test of the indicator's session filter. The concept's own video gives no bounds, so it uses the same indicator's stated 8-11 EST setting from Je7cd9HJUBE, read on the New York clock with DST. Run on the 5m CISD book: +0.005R [-0.017,+0.027]. A powered NULL.",concept_campaign/results/chart-timezone-est.json,concept_campaign/tests/time_own_01a/chart-timezone-est.py
cheat-code-entry,,entry,own,trade,EDGE,62457,0.0784584,0.065086,0.0913841,1.355e-31,8.365e-30,reject,upheld,ARTEFACT,"Deep dive: a structural control (stop at a fresh 15m extreme, same distance) removes 60-85% of +0.078R; residual +0.02-0.03R, negative in 2024; median stop 0.435pt so a 0.30pt spread nets -2.3R/trade. Not tradeable.",concept_campaign/results/cheat-code-entry.json,concept_campaign/tests/entry_own_03b/cheat-code-entry.py
cisd,a,entry,own,trade,NULL,26637,-0.00678638,-0.0205969,0.00620102,0.3209,0.6368,keep,,,"15m CISD by his definition (close past the first candle's open, POI gate on, 2/2 swing, max_wait 3), stop at the protected swing, 2R, 150min, against a matched control: -0.007R, a powered NULL (MDE 0.019).",concept_campaign/results/cisd__a.json,concept_campaign/tests/entry_own_01a/cisd.py
cisd,b,entry,own,trade,NULL,22440,-0.00816223,-0.0231761,0.00624717,0.2769,0.5931,keep,,,"Same book, but the close must clear the whole series' far extreme (the wording in hourly-cisd-confirmation): -0.008R, a powered NULL.",concept_campaign/results/cisd__b.json,concept_campaign/tests/entry_own_01a/cisd.py
cisd-entry-model,,model,own,trade,NULL,3888,-0.0213552,-0.059233,0.0200407,0.291,0.6073,keep,,,"15m model: sweep of the prior 20-bar range, CISD back inside, limit-style entry on a retest of the CISD level within 150 min, premium/discount filter. Stop at the manipulation extreme, target the -2 SD projection (2R). Powered null (MDE 0.057).",concept_campaign/results/cisd-entry-model.json,concept_campaign/tests/model_own_03a/cisd-entry-model.py
cisd-skip-at-target,,entry,own,gate,NULL,3311,0.00769911,-0.0360525,0.0514788,0.7303,0.9039,keep,,,"Gate on the cisd-a book: kept trades (>=1R of room between the closure and the short-term target, taken as the last confirmed opposite 2/2 swing before the extreme) vs skipped ones gave +0.008R, a powered NULL. The skip condition fired on 88% of CISDs.",concept_campaign/results/cisd-skip-at-target.json,concept_campaign/tests/entry_own_01a/cisd-skip-at-target.py
classic-expansion-week,,model,own,trade,UNDERPOWERED,335,0.0148551,-0.132978,0.209407,0.865,0.9643,keep,,,"Monday or Tuesday daily C2 closure that is the week's extreme, with an hourly CISD inside the day. Enter at the C3 open, stop at the extreme, 2R, hold to Friday 17:00 NY in trading minutes. MDE 0.24, effective n 175.",concept_campaign/results/classic-expansion-week.json,concept_campaign/tests/model_own_03a/classic-expansion-week.py
clean-day-criteria,,model,own,trade,UNDERPOWERED,174,0.35318,0.0312084,0.668102,0.02972,0.1838,keep,,,"Full four-part checklist: daily C3, 4H C4, previous-day extreme not yet taken, 15m CISD. Stop at the protected swing, target the previous-day extreme with a 2R floor, hold to the daily close. 174 trades, +0.35R vs control; the CI excludes 0 but the MDE is 0.46, far below the power floor. Candidate only.",concept_campaign/results/clean-day-criteria.json,concept_campaign/tests/model_own_02a/clean-day-criteria.py
compounding-math-reality-check,,risk,guest,untestable,UNTESTABLE,0,,,,,,,,,"Arithmetic reductio with no market claim. Checked: 1%/day gives x10 at 231.4 days, x100 at 462.8, x1000 at 694.2, x10k at 925.6 and x100k at 1157. That matches the quoted ladder from a $1,000 start.",concept_campaign/results/compounding-math-reality-check.json,concept_campaign/tests/risk_guest_01b/compounding-math-reality-check.py
consequent-encroachment,a,entry,own,rate,UNDERPOWERED,1418,0.00183357,-0.0149506,0.0180571,0.8276,0.9415,keep,,,"Reading A (a close beyond the CE invalidates the gap). The first CE touch of a 1H FVG closing beyond the CE but inside the gap reaches the far edge within 600 trading minutes 91.2% of the time, against a distance-matched null of 91.0%. The null is not time-of-day matched.",concept_campaign/results/consequent-encroachment__a.json,concept_campaign/tests/entry_own_02a/consequent-encroachment.py
consequent-encroachment,b,entry,own,rate,NULL,5549,-0.0096594,-0.0237908,0.00537394,0.1942,0.4987,keep,,,"Respect reading: the first CE touch of a 1H FVG closing back on the respecting side reaches the displacement leg's extreme within 600 trading minutes 51.8% of the time, against a null of 52.7%. The null is not time-of-day matched. No continuation edge (powered, MDE 0.021).",concept_campaign/results/consequent-encroachment__b.json,concept_campaign/tests/entry_own_02a/consequent-encroachment.py
consolidation,,structure,own,gate,UNDERPOWERED,55,-0.15943,-0.54298,0.267446,0.4406,0.7269,keep,,,"Consolidation defined as no 1h close beyond the latest 2/2 swing in the last 24 bars (absence of displacement), used as a gate on the phase-3 1h CISD book, claim '-'. The gate fired on only 0.7% of events (55 of 8,033), so the test cannot decide.",concept_campaign/results/consolidation.json,concept_campaign/tests/structure_own_01a/consolidation.py
consolidation-avoidance,a,model,own,gate,NEGATIVE,4982,0.0442525,0.00548742,0.0807382,0.02116,0.1588,keep,,,"Gate on the 15m bare-CISD book: the last completed daily candle is an inside day. Claim '-' (worse), but gated trades came out 0.044R better, with the CI excluding 0 and both halves positive: NEGATIVE, p=0.021. Unlikely to survive campaign-wide Holm.",concept_campaign/results/consolidation-avoidance__a.json,concept_campaign/tests/model_own_03b/consolidation-avoidance.py
consolidation-avoidance,b,model,own,gate,NEGATIVE,7069,0.0409156,0.00961259,0.0742491,0.01309,0.1154,keep,,,"Gate on the 15m bare-CISD book: the last three completed 4H closes (forex grid) all sit inside the range of the 4H candle before them. Claim '-', but gated trades came out 0.041R better: NEGATIVE, p=0.013. Correlated with reading a.",concept_campaign/results/consolidation-avoidance__b.json,concept_campaign/tests/model_own_03b/consolidation-avoidance.py
